1,1,5,
2,2,5,
3,3,5,
4,4,5,
5,4,6,
6,6,5,
7,2,7,
8,7,5,
9,1,8,
10,8,5,
11,3,9,
12,9,5,
13,3,8,
14,1,9,
15,4,8,
16,9,10,
17,10,5,
18,3,11,
19,11,9,
20,8,12,
21,12,5,
22,1,13,
23,13,8,
24,3,6,
25,4,9,
26,1,14,
27,14,9,
28,3,13,
29,1,7,
30,4,15,
31,15,6,
32,1,6,
33,13,5,
34,2,8,
35,6,16,
36,16,5,
37,4,13,
38,13,17,
39,17,8,
40,4,7,
41,1,18,
42,18,13,
43,11,5,
44,6,19,
45,19,16,
46,2,9,
47,2,20,
48,20,7,
49,4,21,
50,21,9,
51,3,7,
52,4,22,
53,22,8,
54,18,23,
55,23,13,
56,18,5,
57,1,11,
58,1,24,
59,24,6,
60,1,20,
61,11,25,
62,25,9,
63,4,16,
64,1,26,
65,26,7,
66,9,16,
67,15,5,
68,1,27,
69,27,18,
70,27,5,
71,7,28,
72,28,5,
73,3,15,
74,4,11,
75,2,29,
76,29,20,
77,2,11,
78,4,20,
79,1,16,
80,2,18,
81,3,30,
82,30,11,
83,20,31,
84,31,7,
85,6,25,
86,8,10,
87,20,5,
88,15,32,
89,32,6,
90,27,33,
91,33,5,
92,14,5,
93,2,10,
94,3,23,
95,8,16,
96,2,34,
97,34,9,
98,10,35,
99,35,5,
100,3,20,
101,13,10,
102,4,27,
103,4,18,
104,4,14,
105,2,6,
106,3,36,
107,36,8,
108,1,10,
109,9,25,
110,4,25,
111,2,25,
112,14,37,
113,37,9,
114,9,38,
115,38,10,
116,15,39,
117,39,5,
118,29,40,
119,40,20,
120,25,41,
121,41,9,
122,27,42,
123,42,18,
124,18,43,
125,43,23,
126,1,44,
127,44,27,
128,2,13,
129,9,23,
130,1,23,
131,4,29,
132,1,29,
133,1,15,
134,2,14,
135,1,45,
136,45,14,
137,2,12,
